"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","876661040000","843835070000","943762000000","1018701200000","1138703040000","1183805890000","1183820732200","1211461498211.89","1275266880000","1371807500000","1524169708735.44","","",
"Andorra","AND","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27126000000","","","","","","","","","","",
"Argentina","ARG","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3273520556966.98","3919401297115.88","4200685256434.96","3957579639220.35","",
"American Samoa","ASM","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49485000000","49502000000","59874000000","79401000000","94203000000","","","","","193171000000","195640000000","195903000000","195795000000","201369000000","197540000000","207355000000","214304000000","218847000000","214463000000","301089000000","373863000000","426921000000","591916000000","577399000000","667279000000","754945000000","906514000000","937119000000","1003971000000","1172794000000","1373720000000","1460303000000","1352679000000","",
"Austria","AUT","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130898360000","138288370000","143751160000","153753400000","154863300000","161069010000","188792580000","188608970000","189574270000","211327200000","240031840000","253838690000","265769430000","288700890000","284058230000","319152700000","327345870000","338635550000","330229490000","324460470000","330108630000","380533860000","383515120000","335642100000","",
"Azerbaijan","AZE","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1836894200","2241118840","2711634760","","","","","","","","","","16152080000","15721980000","","",
"Burundi","BDI","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264325036089.683","272852118028.13","278112952586.025","293119165568.007","278947346747.337","281110241615.725","287907206181.061","296062388081.271","287385503356.851","291176555139.406","299975569020.423","290605994633.603","286846980780.528","321144561077.134","332416494812.395","338470011701.832","359315300156.279","401731745144.005","399026061618.363","452589480174.638","452461249674.104","473877113132.687","462250042046.974","466414000598.037","494791394496.266","549277738043.526","548758363216.035","521179416348.095","",
"Benin","BEN","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4022385891408.72","4420945232133.8","7486954017185.56","6071177913283.9","7340065355050.18","",
"Bangladesh","BGD","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","916599900000","1001422800000","1086914100000","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15015180000","16642510000","17317180000","19005370000","18016040000","17366340000","16553330000","14640200000","14869850000","15316720000","13088890000","14753390000","15418710000","15804800000","18013010000","18140120000","27350090000","27634160000","33891110000","33099910000","31544840000","32415530000","38871570000","45718560000","50844370000","",
"Bahrain","BHR","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138800000","284300000","380500000","378300000","374300000","373600000","362800000","404900000","492100000","589800000","877300000","914800000","1023700000","1351400000","1453600000","","1409235000","616500000","705000000","1348000000","2930118000","3888285877","4279286478.758","5375720000","5691000000","7430000000","8991000000","10845000000","12542000000","13894000000","15037786758","","","",
"Bahamas, The","BHS","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","773100000","870400000","952300000","1064700000","1136300000","1165800000","1235100000","1375629000","1431678000","1509200000","1514500000","","","","","","2315840720.74","2441247000","2679446000","3085245000","3401491900","3555516300","3907567900","4689411000","5160171000","5637362000","5964766000","6550127000","7243195000","7527058000","8191220004.29022","9935319415.63292","10792807646.4925","",
"Bosnia and Herzegovina","BIH","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11678032132.3002","12882625136","12302780139","13671730734.3056","","14511053839.4401","14301922008.3954","13858663093.3683","14409127623.661","15534777795.2007","17764492490.0634","18214014594.2867","",
"Belarus","BLR","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2370","5110","1351480","2049290","2210010","4464860","14169990","45703000","137139000","196472000","322460000","","","427505200","526681800","865671000","1383133100","2636853897.56257","3222697837.03379","12110618048","13377900000","15987400000","19781184418","33804450453.3197","36958042200","42172492700","45375394200","44790614100","57775886500","","","",
"Belize","BLZ","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231832000","254767000","341625000","395557000","431785000","450357000","498128000","","","","","","1254635000","1743037000","2200126000","2054694000","2134440000","2187249000","2156840000","2192727000","2240073000","2286248000","2344154000","2488400000","2609974000","","","","","","","","","",
"Bermuda","BMU","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16352900000","18506600000","17973600000","19379600000","22041700000","27091500000","31213800000","36760230000","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2382753990986.1","2597017652406.62","2881609304522.97","3051200747915.62","3378218222290.28","4049407884511.51","4602865624505.07","5510017770044.87","6066138320875.43","6839767818563.55","7511424215924.93","7661357427093.5","7973258292035.28","",
"Barbados","BRB","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4873042147","5260609856","6246978106","6810844786","7759229085","8672652668","9338336564","10397944167","11270291340","12175704025","13365027241","14201382937","","","","","","","",
"Brunei Darussalam","BRN","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2687000000","2698900000","2956500000","2821100000","2798200000","2662400000","4069500000","4084900000","4661170000","6205356000","7721800000","15723800000","14715686000","19930991000","23959301000","28721391000","30457650000","31056399000","33070990000","34759027000","39788500000","53119200000","70668700000","101310000000","108370000000","113756599576.39","146201510150","161629691050","169337176200","174071424662.205","202153590400","","","",
"Botswana","BWA","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","801930000","965800000","1096300000","1254500000","1377000000","1438900000","1797900000","","","","","","","","","","3483530000","3855360000","5863580000","13938100000","18790020000","21776160000","21914260000","22794370000","25447260000","26159246269.7519","25986219844.0603","24465026688.4872","26459620000","29133100000","33619750000","","","",
"Central African Republic","CAF","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","428271000000","472021000000","506587000000","560265000000","599859000000","642948000000","671003000000","679522000000","681729000000","667617000000","649581000000","657599000000","646352000000","643159000000","625069000000","653910000000","646667000000","616205000000","744048000000","832388000000","882187000000","953736000000","998088000000","972980000000","974797000000","1028503000000","1064991000000","1087099000000","1094338000000","1124044000000","1551228000000","1651211000000","1578058000000","",
"Central Europe and the Baltics","CEB","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45424810089.74","50197081491.59","59880728202.94","73911634816.4","82351366777.95","93492185330.24","95922086958.63","105551271859.14","118368219216.02","110975628090.14","120842368252.27","118753662010.2","143050069470.97","140002911703.33","146793375866.29","152460819462.01","142189423520.23","138325815346.71","142466237581.39","131554856791.38","132237157690.956","135757586863.87","137328552302.55","133046044939.96","136870715555.65","136598732071.04","131603770504.24","139324935962.5","133128673242.12","136805608458.55","145779984313.3","149208740620.87","141870168134.93","",
"Channel Islands","CHI","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5062569263441.43","4724475050547.6","4593961128344.94","4572508971726.01","5106573944529.79","5549435860705.91","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9392700000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1195900000000","1632240000000","1873920000000","2226770000000","5263980000000","5763760000000","","","5652910000000","5656160000000","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.8972","567.923333333333","22734.7133333333","279973.673333333","118005600","923410000","7055500000","12174960000","","","","","","","","","","","","","","","","","","","","","","","","","21116586200000","",
"Congo, Rep.","COG","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2754060000000","1657840000000","","","","","","","","","","","","","",
"Colombia","COL","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","412524048000000","362535488497312","426126465252586","574632777861000","611655714376300","704590273941612","766716613324713","906076024288085","954524823517650","1.02699006492644E+15","",
"Comoros","COM","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","730100000000","885500000000","1415000000000","1633200000000","1781500000000","2066700000000","","","","","","","","","","","","","","","","","","","","","31865119130358","",
"Caribbean small states","CSS","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12936727071.423","14115605682.125","15442438926.0415","17097926783.011","18722524834.5219","21065600043.7402","22805104959.3865","24327851570.3756","24839608456.8937","25427027341.0403","25161372280.3337","16661443000","18017705000","20937859000","23214075000","27008651000","27796534000","28175161000","28764178000","28911906000","32193077000","34108701000","38683837000","38053345000","34977435000","",
"Czechia","CZE","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","306992000000","426391000000","477457000000","652874000000","726945000000","818640000000","888809000000","924334000000","992843000000","1058625000000","1203615000000","1424062000000","1602434000000","1743176000000","2120967000000","2128313000000","2186156000000","2209663000000","2130320000000","2088189000000","2074671000000","2122237000000","2604327000000","2888365000000","3177744000000","",
"Germany","DEU","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","344634000000","406217000000","474390000000","496730000000","","","","781060000000","833285000000","890898000000","874524000000","919641000000","950618000000","997441000000","1049317000000","1051606000000","1039100000000","1133733000000","1185867000000","1452263000000","1500199000000","1567873000000","1525490000000","1601297000000","1561303000000","1564269000000","1563984000000","1548202000000","1551220000000","1874472000000","1970774000000","1726298000000","",
"Djibouti","DJI","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","763839000000","773716000000","774370000000","770619000000","735210000000","697993000000","694228000000","709585000000","685259000000","651274000000","572132000000","544810000000","437881000000","581182000000","661154000000","773986000000","915147000000","946855000000","893331000000","964496000000","874504000000","857232000000","841500000000","823503000000","882147000000","1123394000000","1016561000000","746685000000","",
"Dominican Republic","DOM","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49308900000","49260400000","","57544200000","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","638953000000","","","","","","","","","","","","","","","","",
"Euro area","EMU","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","345348000000","343997000000","","","","","","","","","","","","","","","","","","","","","","","","254378275522.608","298761154688.798","313820853800.735","336774979454.947","331650002269.59","344626734515.279","345196346192.362","361242039512.85","356651367049.643","375476253004.598","379893538470.782","365218124260.233","350143218403.812","417540539332.334","550326580905.954","583025254289.41","665939824958.786","913528396745.501","1076308945069.33","1218049885975.54","1186258410498.29","1216484763483.4","1252667941753.29","1283367985395.35","1366067303629.7","1499865052630.43","1551998215609.14","1410867268592.6","",
"Estonia","EST","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","352400000","424000000","251000000","266300000","346500000","425200000","515600000","587700000","670900000","693700000","840600000","1162300000","1164200000","999200000","2428100000","2609400000","2797700000","2707400000","3060100000","3199800000","3490100000","3893400000","6520900000","7447200000","9075200000","",
"Ethiopia","ETH","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12186200000","14182000000","13051000000","27645600000","37063100000","39599800000","38967100000","38748500000","41947300000","49485000000","","","","","","","","","","","","","","93049100000","285754535948.33","362690988123.32","454837355801.34","551579021406.76","715770172246.28","846210210185.12","","","","",
"European Union","EUU","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88699000000","80235000000","76665000000","72685000000","70830000000","74230000000","74399000000","70195000000","68968000000","66322000000","66128000000","76929000000","91302000000","98727000000","109646000000","114199000000","125149000000","131827000000","136519000000","136218000000","140697000000","145193000000","167129000000","165972000000","162719000000","",
"Fiji","FJI","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","752310000","775570000","921680000","979110000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","843096000000","828974000000","862004000000","889370000000","971379000000","1038303000000","1101519000000","1158631000000","1126897000000","1154865000000","1302470000000","1509398000000","1602243000000","1693878000000","1885767000000","1925976000000","2097190000000","2154031000000","2284666000000","2348132000000","2401642000000","2558570000000","2854924000000","2924645000000","2603742000000","",
"Faroe Islands","FRO","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70020215","71308948","71726495","78454110","88734048","83500423","74676687","94767029","84368040","113434021","92896027","95156690","103650413","","","",
"Gabon","GAB","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185954000000","189173000000","204338000000","249926000000","301656000000","754203000000","796573000000","845651000000","903511000000","913759000000","964281000000","966935000000","1029411000000","1090894000000","1197141000000","1289072000000","1356698000000","1448904000000","1679759000000","1916307000000","2108618000000","2390123000000","2520081000000","2523179000000","2804790000000","2835378000000","3119005000000","3358420000000","3404150000000","3581471000000","4137291000000","4267850000000","3565586000000","",
"Georgia","GEO","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1484900000","1795100000","2090800000","2857900000","3445300000","3536400000","3739600000","4134300000","3897300000","3626700000","3396700000","3184100000","3263500000","4477500000","5549900000","6959400000","7228700000","7840400000","8434800000","9641000000","12437400000","14430700000","16057000000","17343700000","22239300000","32459100000","33232500000","31307500000","",
"Ghana","GHA","Central government debt, total (current LCU)","GC.DOD.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
